,language,architecture,n_models,n_multilingual,mean_n_langs,n_monolingual,n_goldfish,n_english
0,ile,autoregressive,7,4,4,129.5,0,0,4
0,ile,bidirectional,7,3,3,307.3333333333333,0,0,3
0,tir,autoregressive,27,19,9,60.421052631578945,10,4,8
0,tir,bidirectional,27,8,3,59.875,5,0,1
0,gsw,autoregressive,9,7,2,91.85714285714286,5,4,2
0,gsw,bidirectional,9,2,2,245.5,0,0,2
0,lao,autoregressive,191,167,158,39.16167664670659,9,4,158
0,lao,bidirectional,191,24,23,108.41666666666667,1,0,23
0,mrj,autoregressive,7,4,4,160.5,0,2,2
0,mrj,bidirectional,7,3,3,307.3333333333333,0,0,3
0,sah,autoregressive,13,8,3,80.75,5,4,3
0,sah,bidirectional,13,5,5,204.2,0,0,4
0,tgk,autoregressive,42,31,26,89.7741935483871,5,4,26
0,tgk,bidirectional,42,11,10,143.36363636363637,1,0,10
0,zlm,autoregressive,1,0,0,,0,0,0
0,zlm,bidirectional,1,1,1,468.0,0,0,1
0,pir,autoregressive,1,0,0,,0,0,0
0,pir,bidirectional,1,1,1,468.0,0,0,1
0,che,autoregressive,20,11,8,109.18181818181819,3,3,8
0,che,bidirectional,20,9,9,165.11111111111111,0,0,9
0,ltz,autoregressive,43,37,29,81.37837837837837,8,4,28
0,ltz,bidirectional,43,6,5,183.33333333333334,1,0,5
0,djk,autoregressive,3,2,2,319.0,0,0,2
0,djk,bidirectional,3,1,1,468.0,0,0,1
0,hmn,autoregressive,7,6,2,107.0,4,4,2
0,hmn,bidirectional,7,1,1,468.0,0,0,1
0,mar,autoregressive,298,231,216,46.16450216450217,15,4,212
0,mar,bidirectional,298,67,48,53.28358208955224,19,0,40
0,mzh,autoregressive,1,0,0,,0,0,0
0,mzh,bidirectional,1,1,1,468.0,0,0,1
0,koi,autoregressive,5,2,2,319.0,0,0,2
0,koi,bidirectional,5,3,3,307.3333333333333,0,0,3
0,tzh,autoregressive,3,2,2,319.0,0,0,2
0,tzh,bidirectional,3,1,1,468.0,0,0,1
0,nld,autoregressive,915,762,678,23.41994750656168,84,4,673
0,nld,bidirectional,915,153,80,27.013071895424837,73,0,75
0,ben,autoregressive,521,425,369,33.36235294117647,56,4,365
0,ben,bidirectional,521,96,61,39.291666666666664,35,0,48
0,mkw,autoregressive,2,2,0,1.0,2,2,0
0,mkw,bidirectional,2,0,0,,0,0,0
0,ina,autoregressive,12,8,5,66.125,3,3,5
0,ina,bidirectional,12,4,4,240.0,0,0,4
0,hrv,autoregressive,237,194,186,44.04123711340206,8,4,184
0,hrv,bidirectional,237,43,37,80.18604651162791,6,0,35
0,bas,autoregressive,5,4,4,179.0,0,0,4
0,bas,bidirectional,5,1,1,468.0,0,0,1
0,zul,autoregressive,179,169,163,51.55029585798817,6,4,160
0,zul,bidirectional,179,10,10,67.1,0,0,10
0,knc,autoregressive,8,7,7,2.0,0,7,0
0,knc,bidirectional,8,1,1,468.0,0,0,1
0,chm,autoregressive,11,11,8,59.45454545454545,3,8,3
0,chm,bidirectional,11,0,0,,0,0,0
0,bih,autoregressive,1,0,0,,0,0,0
0,bih,bidirectional,1,1,1,468.0,0,0,1
0,yap,autoregressive,3,2,2,319.0,0,0,2
0,yap,bidirectional,3,1,1,468.0,0,0,1
0,oss,autoregressive,15,12,9,100.58333333333333,3,3,9
0,oss,bidirectional,15,3,3,307.3333333333333,0,0,3
0,nno,autoregressive,113,90,90,31.255555555555556,0,4,79
0,nno,bidirectional,113,23,23,68.30434782608695,0,0,12
0,nds,autoregressive,12,3,0,1.0,3,3,0
0,nds,bidirectional,12,9,9,165.44444444444446,0,0,9
0,khk,autoregressive,5,4,4,2.0,0,4,0
0,khk,bidirectional,5,1,1,468.0,0,0,1
0,lad,autoregressive,3,0,0,,0,0,0
0,lad,bidirectional,3,3,3,307.3333333333333,0,0,3
0,deu,autoregressive,5587,5222,4949,10.317311374952126,273,4,4919
0,deu,bidirectional,5587,365,203,14.887671232876713,162,0,195
0,tab,autoregressive,3,2,2,319.0,0,0,2
0,tab,bidirectional,3,1,1,468.0,0,0,1
0,som,autoregressive,76,51,45,87.94117647058823,6,4,45
0,som,bidirectional,76,25,24,108.32,1,0,24
0,arz,autoregressive,16,9,4,1.4444444444444444,5,4,0
0,arz,bidirectional,16,7,7,133.14285714285714,0,0,3
0,udm,autoregressive,8,5,2,128.2,3,3,2
0,udm,bidirectional,8,3,3,307.3333333333333,0,0,3
0,arq,autoregressive,2,0,0,,0,0,0
0,arq,bidirectional,2,2,2,240.0,0,0,1
0,run,autoregressive,100,99,96,51.666666666666664,3,3,96
0,run,bidirectional,100,1,1,468.0,0,0,1
0,arg,autoregressive,26,15,12,48.0,3,3,10
0,arg,bidirectional,26,11,11,128.45454545454547,0,0,8
